"","legislative_id","(all)"
"1","#N/A",5906
"2","0",44
"3","State Legislative District 1",96
"4","State Legislative District 10",85
"5","State Legislative District 11",306
"6","State Legislative District 12",759
"7","State Legislative District 13",591
"8","State Legislative District 14",336
"9","State Legislative District 15",537
"10","State Legislative District 16",656
"11","State Legislative District 17",213
"12","State Legislative District 18",144
"13","State Legislative District 19",346
"14","State Legislative District 2",38
"15","State Legislative District 20",477
"16","State Legislative District 21",491
"17","State Legislative District 22",399
"18","State Legislative District 23",218
"19","State Legislative District 24",491
"20","State Legislative District 25",85
"21","State Legislative District 26",307
"22","State Legislative District 27",1326
"23","State Legislative District 28",6
"24","State Legislative District 29",291
"25","State Legislative District 3",1004
"26","State Legislative District 30",313
"27","State Legislative District 31",190
"28","State Legislative District 32",502
"29","State Legislative District 33",321
"30","State Legislative District 34",1549
"31","State Legislative District 35",213
"32","State Legislative District 36",1510
"33","State Legislative District 37",2548
"34","State Legislative District 38",656
"35","State Legislative District 39",175
"36","State Legislative District 4",456
"37","State Legislative District 40",1102
"38","State Legislative District 41",231
"39","State Legislative District 42",437
"40","State Legislative District 43",1796
"41","State Legislative District 44",124
"42","State Legislative District 45",217
"43","State Legislative District 46",525
"44","State Legislative District 47",714
"45","State Legislative District 48",852
"46","State Legislative District 49",928
"47","State Legislative District 5",358
"48","State Legislative District 6",253
"49","State Legislative District 7",244
"50","State Legislative District 8",276
"51","State Legislative District 9",339
