legislative_id	legislative_id	num_housing_units
State Legislative District 1	1	96
State Legislative District 10	10	85
State Legislative District 11	11	306
State Legislative District 12	12	759
State Legislative District 13	13	591
State Legislative District 14	14	336
State Legislative District 15	15	537
State Legislative District 16	16	656
State Legislative District 17	17	213
State Legislative District 18	18	144
State Legislative District 19	19	346
State Legislative District 2	2	38
State Legislative District 20	20	477
State Legislative District 21	21	491
State Legislative District 22	22	399
State Legislative District 23	23	218
State Legislative District 24	24	491
State Legislative District 25	25	85
State Legislative District 26	26	307
State Legislative District 27	27	1326
State Legislative District 28	28	6
State Legislative District 29	29	291
State Legislative District 3	3	1004
State Legislative District 30	30	313
State Legislative District 31	31	190
State Legislative District 32	32	502
State Legislative District 33	33	321
State Legislative District 34	34	1549
State Legislative District 35	35	213
State Legislative District 36	36	1510
State Legislative District 37	37	2548
State Legislative District 38	38	656
State Legislative District 39	39	175
State Legislative District 4	4	456
State Legislative District 40	40	1102
State Legislative District 41	41	231
State Legislative District 42	42	437
State Legislative District 43	43	1796
State Legislative District 44	44	124
State Legislative District 45	45	217
State Legislative District 46	46	525
State Legislative District 47	47	714
State Legislative District 48	48	852
State Legislative District 49	49	928
State Legislative District 5	5	358
State Legislative District 6	6	253
State Legislative District 7	7	244
State Legislative District 8	8	276
State Legislative District 9	9	339
